course_name,course_code,course_location,course_units,course_semester,course_url,Course description,Learning objectives,Outcomes,Content details,Prerequisites,Faculty,Course discipline,Course format,Course concentration,,,,,,
Advanced Quantitative Financial Analytics and Algorithmic Trading,04-800-AF,Africa,12,Spring,https://www.africa.engineering.cmu.edu/academics/courses/04-800-AF.html,"Algorithmic trading serves as a practical application of software engineering and data science methodologies and quantitative analysis techniques within the context of financial markets. This course is designed to build on the principles and concepts covered in the introductory course, Quantitative Financial Analytics and Algorithmic Trading, and take students to the next level in algorithmic trading. The course will focus on more advanced concepts, such as data mining, automated strategy discovery, advanced signal analysis, signal validation, execution mechanisms, meta-strategies, advanced risk management, and machine learning in algorithmic trading.Students will work on real-world projects, using Python, and gain hands-on experience in applying these concepts to develop and implement their trading strategies while emphasizing universally applicable engineering concepts and data-driven methodologies.","Students will develop a strong foundation in universally applicable data engineering principles through the lens of algorithmic trading. The objective of this course is to provide students with a comprehensive understanding of the advanced concepts of quantitative financial research and algorithmic trading, and give them hands-on experience with the areas of expertise involved.Through this course, students will learn about the dangers and caveats of data mining and automated strategy discovery, and will gain an understanding of the different types of data mining used in algorithmic trading. Students will also gain an understanding of different types of optimization and signal analysis methods, and gain hands-on experience in trading strategy validation using different statistical approaches. Trading strategy execution, meta-strategies, and advanced risk management concepts will also be covered. Throughout the course, students will utilize Python programming and various libraries, emphasizing the importance of universally applicable engineering and research principles in creating, testing, and optimizing algorithmic trading strategies, while gaining hands-on experience in addressing real-world challenges.","After completing this course, students should be able to:
Understand the risks associated with data mining in algorithmic trading,Develop and apply their own trading strategy evaluation methods in Python,Create and evaluate trading strategies using their own automated or semi-automated research platform,Mitigate and optimize execution costs by internalizing and aggregating orders,Understand the concept of layered execution and meta-strategies,Apply advanced risk management methods, such as turnoff mechanisms, decorrelation techniques and portfolio generation using Mean-Variance OptimizationApply machine Learning in signal generation, validation, and execution systemsDevelop and maintain high-quality code and documentation, adhering to best practices in unit testing, code style, exception handling, and user-friendly error handling across different engineering projects.","Advanced data mining & automated strategy discoveryEvidence based technical analysis in detailUniverse size and its consequencesParameter-based searchesRule-based searchesGenetic optimization based searchesAdvanced optimizationAdaptive optimizationMulti-objective optimizationConstrained optimizationBlack box optimizationGrid-based optimizationParameter sensitivity analysisAdvanced signal analysisMAE, MFE, Edge-related metricsStop losses, profit targetsSignal value identificationExit optimization vs. value identificationSignal validationStatistical testsWalk-forward optimizationRobustness testing, noise testingVariance testingCross-market simulationsMonte Carlo simulationsOther methodsExecution mechanismsMitigating execution costsSpread analysis & predictionOrder aggregation, internalization, A & B booksMeta-strategiesExecution optimizationLow latency operations & HFT LayeringAdvanced turnoff mechanismsAdvanced risk managementKelly CriterionAdvanced decorrelation (Pearson based)Advanced portfolio generation (Mean-Variance optimization vs. Black-Litterman)Machine Learning in Algorithmic TradingML-based signal generationML-based validation systemsML-based execution systems","Background or hands-on experience in quantitative financial research and algorithmic trading, or successful completion of04-800-H Quantitative Financial Analytics and Algorithmic Trading, with delivering the requirements specified in a passing repository.","Patrick McSharry
Ben Racz","ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Project in AI for Healthcare,04-801-T4,Africa,6,Spring,https://www.africa.engineering.cmu.edu/academics/courses/04-801-T4.html,"This is a practical course where students who have taken the companion 04-800-T3 mini-course, or who come with at least some artificial intelligence (AI) or machine learning (ML) background, tackle the challenges of working with real data to improve healthcare, particularly in Africa. While ML is applicable to a wide variety of problems in the different biosciences, this course focuses on the use of clinical data. Clinical topics that students may focus on will include risk classification, modeling of disease progression, customized diagnosis and medication; subtype discovery; clinical workflow improvement. Mathematical topics that students may focus on include graphical models, time-series analysis, deep learning and transfer learning, causality, interpretability, and algorithmic fairness. Students will be assessed on structured assignments integrated into a final project.","The main objectives of this course are to:
Apply relevant AI and MLalgorithms to solve problems in specific use cases in healthcareDefine the scope and develop a detailed plan for executing a feasible healthcare projectAccount for practical considerations such as electronic tools, the integrity of data sources, data governance, and regulatory complianceAddress the issue of fundamental value creation","Upon successful completion of this course, students should be able to:
Engage in the usage and/or implementation of AI for healthcare in their institutionHelp develop new products for or improve the performance of a healthcare concernEffectively communicate technical recommendations",Healthcare case selection and AI project proposalSimulation or implementation of a prototypeExercise in verification and validation against specified criteriaPresentation of AI project plan and defense thereof,04-801-T3 Applications of AI in Healthcareor by permission of the instructor.,Ahmed Biyabani,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Introduction to Question Answering with Large Language Models,11-697,Pittsburgh,12,Fall,https://www.africa.engineering.cmu.edu/academics/courses/11-697.html,"This course is designed to be accessible to Masters and advanced undergraduate students who seek the basic skills necessary to implement practical Question Answering (QA) applications using Large Language Models (LLMs) in specific information domains. The syllabus includes learning materials on the core concepts of QA and LLMs, and how they are applied in closed commercial systems (e.g. ChatGPT) as well as open systems (e.g. Llama, T5). Students complete a set of hands-on exercises in Python that develop skills in applying LLMs for various open-source QA datasets. The course is also a prerequisite for 11-797 Question Answering (an advanced project-oriented course).
For more information about the course, seehttps://www.cs.cmu.edu/~ehn/11-697/",,,,,"Teruko Mitamura
Eric Nyberg","ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Health Care Geographical Information Systems,90-834,Pittsburgh,12,Spring,https://www.africa.engineering.cmu.edu/academics/courses/90-834.html,"This course is taught with asynchronous video lectures and readings with in-person and remote office hours. A geographic information system (GIS) provides an effective way to visualize, organize and manage a wide variety of information including administrative and medical record data, environmental health, social services, and other location data. Public health departments, hospitals, and medical research agencies are using GIS to map health-related events, identify disease clusters, investigate environmental health problems, and understand the spread of disease. This course uses a unique approach for teaching GIS in health care. It involves learning how to use GIS software in the context of carrying out projects for visualizing and analyzing health-related data. Each week includes lectures and computer labs that focus on a health, technical, or policy issue which use Esri's ArcGIS Pro and Platform technologies to analyze data or solve a problem. Students learn to create Story Maps and Dashboards to convey their maps and associated text to the public and decision makers. Through assignments and projects students will not only learn how to use the software but will also learn the many distinctive advantages of using GIS for health care policy making and planning. By the end of the course, students will have sufficient background so that they can become expert users of GIS in health organizations - building, managing, and using GIS maps and health data.
For more information about the course, seehttps://api.heinz.cmu.edu/courses_api/course_detail/90-834/",,,,,Kristen Kurland,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Wireless Communications and Mobile Networks,18-759,Africa,12,Spring,https://www.africa.engineering.cmu.edu/academics/courses/18-759.html,"This course introduces fundamental concepts of wireless networks and systems. These fundamentals aim to help a student understand any type of wireless network application or technology. It covers the theory of wireless propagation and the associated path loss phenomena. The course focuses on understanding the effects of the channel on signal propagation for broadcast and line-of-sight wireless systems. It looks at mobile cellular networks and satellite systems in detail. The course also covers spread spectrum systems (FHSS and DSSS) in line with their application scenarios in the real world. Other topics include a look at error performance in a wireless channel for different modulation schemes, and noise and interference effects. Research directions are introduced in this course, with discussions of heterogeneous cellular networks, distributed antenna systems, energy-efficient design of cellular systems, cloud radio access networks, 5G, mmWave propagation, unmanned aerial vehicle (UAV)-based mobile base stations, etc. Students are assessed through several labs, homework, a mid-semester exam, and a final group project. The course has no prerequisites.","Students are introduced to the components of a wireless network, from the transmitter side to the receiver side. It looks at the theory of propagation models in different scenarios, and the associated path loss modeling for these scenarios. It focuses on broadcast systems like mobile cellular and line-of-sight systems such as satellite links. It considers specifically the effects of atmospheric absorption, rain, and the curvature of the earth on the design of long-distance terrestrial line-of-sight systems. Students will understand how to determine the link budget of the link, including system effects outside the wireless channel. Individual practical labs are designed around these theoretical topics to help students gain a deeper understanding. Students also cover ideas around performing a survey and writing a survey report on a given topic. Students learn how to plan a cellular network using an industry-grade planning tool.","At the end of this course, students should be able to:
Explain how multipath fading affects signal propagation in a wireless network.Explain the difference between and effects of large-scale and small-scale propagation.Design long-distance terrestrial line-of-sight links considering rain and atmospheric effects as well as the earth’s curvature.Design satellite links and understand how satellites work, including the global positioning system (GPS).Ability to carry out a research survey on a given topic in literature and write a summary paper on the same.Explain how spread spectrum systems work in comparison with other channel access approaches.","Overview of wireless networks and their componentsLine of sight propagation and path loss modelingFading and other multipath effectsEffects of the earth’s curvature, rain effects, and atmospheric absorptionCellular network systems and planningSatellite systems, including GPSSpread spectrum systemsAdvanced topics from research",,Edwin Mugume,ECE,In person expectation,Not specified,,,,,,
Usable Privacy and Security,17-734,Pittsburgh,12,Spring,https://www.africa.engineering.cmu.edu/academics/courses/17-734.html,"There is growing recognition that technology alone will not provide all of the solutions to security and privacy problems. Human factors play an essential role in these areas, and it is important for security and privacy experts to have an understanding of how people will interact with the systems they develop. This course is designed to introduce students to a variety of usability and user-interface problems related to privacy and security and to give them experience in understanding and designing studies aimed at helping to evaluate usability issues in security and privacy systems. The course is suitable both for students interested in privacy and security who would like to learn more about usability, as well as for students interested in usability who would like to learn more about security and privacy. All students will work in small teams on a group project throughout the semester.
Students enrolled in this course will be required to read and comment on a research paper each week in addition to the other assignments.",Gain an appreciation for the importance of usability within security and privacyLearn about current research in usable privacy and securityLearn how to conduct usability studiesLearn how to critically examine UPS studies,,,"The course is open to all students who have at least some technical background (e.g. an undergraduate computer programming course).
Learn more",Lorrie Cranor,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Machine Learning for Signal Processing,18-797/11-755,Pittsburgh,12,Fall,https://www.africa.engineering.cmu.edu/academics/courses/18-797.html,"Signal Processing is the science that deals with the extraction of information from signals of various kinds. This has two distinct aspects: characterization and categorization. Traditionally, signal characterization has been performed with mathematically-driven transforms, while categorization and classification are achieved using statistical tools.Machine learning aims to design algorithms that learn about the state of the world directly from data.An increasingly popular trend has been to develop and apply machine learning techniques to both aspects of signal processing, often blurring the distinction between the two.This course discusses the use of machine learning techniques to process signals. We cover a variety of topics, from data-driven approaches for the characterization of signals such as audio including speech, images, and video to machine learning methods for a variety of speech and image processing problems.
Check theoriginal course descriptionfor the most recent information.",,,,Linear AlgebraBasic Probability TheorySignal ProcessingMachine Learning,Bhiksha Ramakrishnan,"ECE, MSIT, MS EAI",Online,Not specified,,,,,,
Electronic Business and Technology,04-801-N1,Africa,6,Fall,https://www.africa.engineering.cmu.edu/academics/courses/04-801-N1.html,"The coursework includes in-class discussions and a final course project: constructing and implementing a small online shop for a digital platform business model. Students will group in teams of 2-3 students. It is essential to begin work on the course project at the start of the course. The students will be divided into teams of 3. Every team is required to build a small online shop for certain products or services of their choice and present their group work during the last meeting of the class.
Students will be provided access to a certain widely used online shop tool (e.g., WordPress/WooCommerce). Each team has to make a proposal for an online shop, which will be discussed in class. Then each team shall construct a prototype using the provided online shop tool. Aside from the technical realization, business aspects such as product categories, SEO-optimized descriptions, and pictures are to be covered. The project and prototype will be presented in the last meeting.
Platform business models are widely covered in the news and in scientific articles as well. They can be found in various industries and variations, some of the most successful companies in the world make extensive use of a platform business model (e.g., Uber (USA), Meta (USA), Byte dance (PRC), Vuba Vuba (RW)). Different kinds of platforms can be found, among them aggregation platforms, social platforms, mobilization platforms, and learning platforms (Hagel 2015). Platform businesses refer to a business model (not a technology infrastructure) that focuses on helping to facilitate interactions across many participants. Typically, the role of the platform business is to provide a governance structure and a set of standards and protocols that facilitate interactions at scale so that network effects can be unleashed. Students work on a platform business model and realize a platform prototype.","A structured way of thinking is essential as the students have to analyze an enterprise use case and develop a platform business model and a prototype solution.Students will be able to identify, formulate, and solve complex engineering problems by applying principles of engineering.As the prototype, which will be developed by the students in this course, is a real-world company example, students will be able to apply engineering design to produce solutions that meet specified needs with consideration of cultural and economic factors.Students will be able to communicate effectively with a range of audiences as there will be extensive in-class discussions in this course.As students will work in teams of 2-3, they will be able to function effectively on a team whose members together provide leadership, create a collaborative and inclusive environment, establish goals, plan tasks, and meet objectives.During this course, students will develop a prototype, which will improve their ability to develop and conduct appropriate experimentation, analyze and interpret data, and use engineering judgment to draw conclusions. As students will improve their knowledge of platform business models and their realization with standard tools, they will be able to acquire and apply new knowledge as needed, using appropriate learning strategies.","After completing this course, students will be able to:
Explain the importance of platform business models and their use in enterprises.Describe the advantages and disadvantages of platform business models used in enterprises.Assess the business value of the platform business models use.Develop a prototype using web-based software (e.g., WordPress/WooCommerce) for use in an enterprise use case.Present and discuss their results with students in class and faculty.",Overview of platform business modelsFeatures of platform business models and corresponding software toolsAdvantages and disadvantages of platform business modelsUse cases for the application of platform business models in enterprisesDevelopment of a platform business model and prototype using a web-based softwarePresentation and discussion of the results,None,Bernhard Ostheimer,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Applied Cryptography,04-622,Africa,6,Fall,https://www.africa.engineering.cmu.edu/academics/courses/04-622.html,"Cryptography is literally thousands of years old because it has always been important to secure information in a manner that only the intended recipient can access it. One famous cipher, Caesar's cipher, was apparently used by the Romans. Today, cryptography is essential for e-commerce and communication. But cryptography is more than just encrypting data. Cryptographic techniques address other system-level problems too, including but not limited to:
How do I know I'm talking to the person I think I am?How can I securely verify that the person I'm talking to knows a shared secret?How can I electronically ""sign"" a document I produce in a way that anyone can verify it came from me, but no one can produce a forgery?How can I securely exchange encryption keys with a friend?
","Students will learn:
The difference between symmetric and asymmetric encryptionWhat hash functions are and how they are used in cryptographic applicationsThe purpose of message authentication codes and how they are usedHow cryptographic systems work mathematicallyHow a system's security can be mathematically defined and estimatedWhy it is important that the same message be encrypted differently if it is sent twice, and how nonces are used to make that possiblePublic key infrastructure and the role of certificates","After completing this course, students will be able to:
Read and understand protocols and system documentation that employ cryptography.Make informed decisions about how to use cryptography in systems.Write Python code using public libraries to perform cryptographic operations.Understand and explain the mathematical underpinnings of several cryptographic systems.","Block ciphers and stream ciphersPermutation and substitution networksKey expansionAESMultiplicative groups, testing for primalityDiffie Hellman key exchangeEl Gamal public key / private key cryptographyRSA public key / private key cryptography and digital signaturesSha-256Keyed message authentication codesSchnorr identificationPKI and certificatesCase study: how WhatsApp does encryptionHow bitcoin works and its cryptographic underpinnings",None,Mike Perkins,MSIT,In person expectation,Not specified,,,,,,
Software Architecture and Design,04-634,Africa,12,Spring,https://www.africa.engineering.cmu.edu/academics/courses/04-634.html,"Software Architecture and Design is a one-semester course, aiming to train our graduate students from software engineers toward becoming software architects who are the technical lead of a software project team. The primary objective of the course is to help students develop skills in designing, developing, and justifying reasonable software architecture for enterprise-scale software-intensive systems, considering both functional and non-functional requirements as well as contextual system environments. Core topics include an overview of software architecture, micro-architectural patterns (so-called design patterns), macro-architectural patterns (i.e., modern patterns), service-oriented architecture, architectural modeling, viewpoints and perspectives, architectural analysis techniques, architectural tactics (QoS), agile architecture, and some advanced topics. Literature survey and study of state-of-the-art technologies, as well as both individual and group project work, are essential ingredients of this class. Research and practical projects build upon one another. Please note that this course is intended for ECE master students with a concentration in Software Engineering and will satisfy the Software Engineering and Design requirement.","Software Architecture and Design is a one-semester course, aiming to train our graduate students from software engineers toward becoming software architects who are the technical lead of a software project team. The primary objective of the course is to help students develop skills in designing, developing, and justifying reasonable software architecture for enterprise-scale software-intensive systems, considering both functional and non-functional requirements as well as contextual system environments.",,"Overview of software architecture, micro-architectural patterns (design patterns) and macro-architectural patterns (modern patterns), service-oriented architecture, architectural modeling, viewpoints and perspectives, architectural analysis techniques, architectural tactics (QoS), agile architecture, and some advanced topics such as Devops, container management, serverless computing, etc.","Understanding of basic software engineering concepts and effective knowledge of Java programming.
18652 Foundations of Software Engineering Anti-Requisites: 17-655 Architectures for Software Systems.",Eric Umuhoza,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
